,mmsi,basedatetime,lat,lon,sog,cog,heading,vesselname,imo,callsign,vesseltype,vesselstatus,vessellength,vesselwidth,draft,cargo,geom,id,geometry,distance
85112,369959000,2016-01-20 19:16:31,44.74139,-124.25389,12.7,-73.6,511.0,OSCAR DYSON,IMO9270335,WTEP,1020,under way using engine,63.57,15.0,5.9,99,0101000020E610000003B2D7BB3F105FC06DCA15DEE55E4640,13304065,POINT (400730.6570919345 4954987.428336584),12265.92411542345
88826,366207630,2016-01-13 22:04:58,44.71898,-124.18354,8.8,-72.2,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E610000080608E1EBF0B5FC0323D6189075C4640,13916881,POINT (406264.0177027583 4952414.670617209),13258.742829272396
88830,366207630,2016-01-13 22:06:07,44.72154,-124.18498,8.6,-72.2,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E6100000809A5AB6D60B5FC0BF60376C5B5C4640,13917481,POINT (406154.1089257981 4952700.699761914),13373.063458497558
91805,367341970,2016-01-14 04:53:40,44.62797,-124.11787,9.5,143.3,142.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E61000007DCB9C2E8B075FC03F6F2A5261504640,14399048,POINT (411326.3766245731 4942231.660428514),14920.043686780735
99498,369959000,2016-01-20 19:09:31,44.72476,-124.232,12.0,-95.6,511.0,OSCAR DYSON,IMO9270335,WTEP,1020,under way using engine,63.57,15.0,5.9,99,0101000020E6100000022B8716D90E5FC078B988EFC45C4640,15603451,POINT (402435.7110372969 4953113.660493442),11329.008184102033
101635,369959000,2016-01-20 18:56:41,44.69344,-124.19097,11.8,-93.6,511.0,OSCAR DYSON,IMO9270335,WTEP,1020,under way using engine,63.57,15.0,5.9,99,0101000020E610000018213CDA380C5FC07FDE54A4C2584640,15951448,POINT (405634.0723622032 4949586.22070221),11015.805104283942
103439,367515670,2016-01-15 06:49:04,44.51389,-124.26548,9.2,-50.3,357.0,BLACK HAWK,IMO7021962,WDG2439,1025,under way using engine,37.19,10.52,4.6,,0101000020E61000007E6FD39FFD105FC0E8DEC325C7414640,16239086,POINT (399420.9227268912 4929730.829121716),14073.486310103057
103784,367341970,2016-01-15 07:40:31,44.69798,-124.27211,10.4,-107.0,295.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E610000088BA0F406A115FC08CA19C6857594640,16291609,POINT (399212.8480306157 4950187.737513971),7242.366342447152
103796,367515670,2016-01-15 07:48:14,44.65816,-124.24926,9.3,29.1,30.0,BLACK HAWK,IMO7021962,WDG2439,1025,under way using engine,37.19,10.52,4.6,,0101000020E6100000DD0C37E0F30F5FC087C43D963E544640,16292327,POINT (400955.3965326422 4945736.454725625),5026.327978279739
108318,369959000,2016-01-20 19:03:21,44.70969,-124.21161,12.3,-90.6,511.0,OSCAR DYSON,IMO9270335,WTEP,1020,under way using engine,63.57,15.0,5.9,99,0101000020E61000006B60AB048B0D5FC02D26361FD75A4640,16970434,POINT (404025.5232739839 4951415.419055621),10957.68962063337
112387,338155824,2016-01-20 21:41:01,44.68105,-124.21167,7.3,196.0,511.0,WESTERN HUNTER,,,1001,,20.12,,,,0101000020E6100000D6E253008C0D5FC06C787AA52C574640,17631539,POINT (403973.4438625079 4948234.110504932),8886.77505353259
116354,369959000,2016-01-20 19:11:12,44.72707,-124.23873,11.6,-118.6,511.0,OSCAR DYSON,IMO9270335,WTEP,1020,under way using engine,63.57,15.0,5.9,99,0101000020E6100000BEA4315A470F5FC08CF337A1105D4640,18278855,POINT (401906.653941456 4953378.348214847),11290.16162302488
123048,338155824,2016-01-19 17:56:12,44.69908,-124.21877,6.3,-166.6,511.0,WESTERN HUNTER,,,1001,,20.12,,,,0101000020E610000024D6E253000E5FC0D3A414747B594640,19412084,POINT (403440.7235645312 4950245.304457796),9715.123500792288
133939,369959000,2016-01-20 18:35:31,44.65162,-124.1451,3.9,-80.6,511.0,OSCAR DYSON,IMO9270335,WTEP,1020,under way using engine,63.57,15.0,5.9,99,0101000020E610000093A9825149095FC0B3B5BE4868534640,21736170,POINT (409203.2837276503 4944888.686330851),12820.475031162307
134922,369959000,2016-01-20 19:18:21,44.74732,-124.25729,12.6,-69.6,511.0,OSCAR DYSON,IMO9270335,WTEP,1020,under way using engine,63.57,15.0,5.9,99,0101000020E61000009FE5797077105FC0C8D2872EA85F4640,21934645,POINT (400471.6587525835 4955650.301079133),12805.882445141631
137790,369959000,2016-01-20 19:13:31,44.7322,-124.24704,12.4,-90.6,511.0,OSCAR DYSON,IMO9270335,WTEP,1020,under way using engine,63.57,15.0,5.9,99,0101000020E61000007233DC80CF0F5FC0CB10C7BAB85D4640,22515890,POINT (401257.3251952939 4953958.247851832),11516.11957307418
139459,369959000,2016-01-20 19:14:40,44.73548,-124.2502,12.6,-81.6,511.0,OSCAR DYSON,IMO9270335,WTEP,1020,under way using engine,63.57,15.0,5.9,99,0101000020E6100000645DDC4603105FC0596E6935245E4640,22842664,POINT (401012.7071052009 4954326.436431233),11754.92566381924
