,mmsi,basedatetime,lat,lon,sog,cog,heading,vesselname,imo,callsign,vesseltype,vesselstatus,vessellength,vesselwidth,draft,cargo,geom,id,geometry,distance
3467,367412830,2016-01-12 16:25:45,44.19895,-124.26067,3.1,173.7,511.0,,,,,under way using engine,,,,,0101000020E6100000184339D1AE105FC005C58F3177194640,8152279,POINT (399265.0150084725 4894742.832223457),48827.030299347614
3480,367412830,2016-01-12 16:05:25,44.18859,-124.26231,7.7,-54.5,511.0,,,,,under way using engine,,,,,0101000020E61000007BDAE1AFC9105FC0232D95B723184640,8153566,POINT (399116.293380404 4893594.134134813),49965.74534764081
3549,367412830,2016-01-12 16:11:26,44.20126,-124.26139,7.1,1.3,511.0,,,,,under way using engine,,,,,0101000020E610000018601F9DBA105FC019FF3EE3C2194640,8159244,POINT (399211.4211718218 4895000.29260227),48566.931227460365
3593,367412830,2016-01-12 16:17:25,44.2055,-124.261,5.5,140.4,511.0,,,,,under way using engine,,,,,0101000020E610000062105839B4105FC0FCA9F1D24D1A4640,8162477,POINT (399249.8110657381 4895470.76195086),48099.43700895035
3623,367412830,2016-01-12 16:22:15,44.20195,-124.26077,3.9,157.3,511.0,,,,,under way using engine,,,,,0101000020E6100000C971A774B0105FC0AEB6627FD9194640,8165242,POINT (399262.1370835563 4895076.172333751),48494.078294807965
3624,367412830,2016-01-12 16:24:36,44.19997,-124.26097,4.0,-193.3,511.0,,,,,under way using engine,,,,,0101000020E61000002DCF83BBB3105FC02F17F19D98194640,8165251,POINT (399242.7816847601 4894856.493975957),48712.28133278306
3695,367412830,2016-01-12 16:30:54,44.19395,-124.26085,4.2,177.7,511.0,,,,,under way using engine,,,,,0101000020E610000058CA32C4B1105FC09487855AD3184640,8171308,POINT (399242.1107784359 4894187.690749194),49379.968875262246
3839,367412830,2016-01-12 16:10:14,44.19874,-124.26151,7.3,7.2,511.0,,,,,under way using engine,,,,,0101000020E6100000ED647094BC105FC01A34F44F70194640,8185499,POINT (399197.5356332174 4894720.537108957),48845.45946635697
3903,367412830,2016-01-12 16:21:05,44.2032,-124.26084,3.7,148.4,511.0,,,,,under way using engine,,,,,0101000020E6100000465F419AB1105FC00B462575021A4640,8190017,POINT (399258.6744208247 4895215.098837313),48355.18410229253
3925,367412830,2016-01-12 16:18:35,44.20427,-124.26052,5.1,129.0,511.0,,,,,under way using engine,,,,,0101000020E61000000DFD135CAC105FC0E7C6F484251A4640,8191350,POINT (399286.0658734924 4895333.554187316),48238.5252012705
4067,367412830,2016-01-12 16:06:45,44.19142,-124.26248,8.5,4.9,511.0,,,,,under way using engine,,,,,0101000020E6100000A9F6E978CC105FC071E6577380184640,8203962,POINT (399107.5355434586 4893908.677467892),49651.181961735274
4084,367412830,2016-01-12 16:09:05,44.1963,-124.26186,8.3,7.8,511.0,,,,,under way using engine,,,,,0101000020E61000005B087250C2105FC0371AC05B20194640,8205501,POINT (399165.4066227581 4894449.949739589),49113.843041852146
4092,367412830,2016-01-12 16:12:34,44.20367,-124.26152,8.0,0.2,511.0,,,,,under way using engine,,,,,0101000020E6100000FFCF61BEBC105FC09296CADB111A4640,8206966,POINT (399205.1435596765 4895268.136899181),48299.16238218997
4103,367412830,2016-01-12 18:12:55,44.19567,-124.292,3.6,163.2,511.0,,,,,under way using engine,,,,,0101000020E6100000A69BC420B0125FC07767EDB60B194640,8208500,POINT (396755.8223309685 4894417.399566024),49072.68703886784
4158,367412830,2016-01-12 16:13:54,44.20625,-124.26158,4.2,-57.0,511.0,,,,,under way using engine,,,,,0101000020E610000069520ABABD105FC066666666661A4640,8210788,POINT (399204.7496760243 4895554.777786788),48012.96528251245
4210,367412830,2016-01-12 16:19:46,44.20351,-124.26129,4.1,-94.8,511.0,,,,,under way using engine,,,,,0101000020E61000006631B1F9B8105FC059349D9D0C1A4640,8215214,POINT (399223.2477336077 4895250.083164434),48318.21911859735
4240,367412830,2016-01-12 16:07:55,44.19383,-124.26228,7.4,9.5,511.0,,,,,under way using engine,,,,,0101000020E610000046990D32C9105FC0E97DE36BCF184640,8217259,POINT (399127.6303822506 4894176.116346634),49385.20740274647
4255,367412830,2016-01-12 16:29:46,44.19509,-124.26094,3.5,157.4,511.0,,,,,under way using engine,,,,,0101000020E6100000F88DAF3DB3105FC069E388B5F8184640,8218495,POINT (399236.8614846029 4894314.423630212),49253.14160696706
4298,367412830,2016-01-12 16:33:26,44.19157,-124.26135,3.2,154.4,511.0,,,,,under way using engine,,,,,0101000020E6100000D0B359F5B9105FC08672A25D85184640,8221488,POINT (399198.0968715525 4893923.951685581),49640.84337477747
4434,367412830,2016-01-12 16:32:04,44.19295,-124.26106,4.8,-186.9,511.0,,,,,under way using engine,,,,,0101000020E6100000CD920035B5105FC0B1E1E995B2184640,8233415,POINT (399223.624626435 4894076.87587146),49489.57208296834
4797,367412830,2016-01-12 18:06:46,44.1897,-124.29339,9.3,-58.7,511.0,,,,,under way using engine,,,,,0101000020E61000004DBED9E6C6125FC08E06F01648184640,8258500,POINT (396634.3102323478 4893756.044631126),49733.454333547175
4798,367412830,2016-01-12 18:07:55,44.19262,-124.29341,9.4,13.8,511.0,,,,,under way using engine,,,,,0101000020E61000007094BC3AC7125FC01B47ACC5A7184640,8258505,POINT (396637.8162403601 4894080.401118647),49409.1123988444
4802,367412830,2016-01-12 20:10:24,44.19044,-124.25351,3.6,187.3,511.0,,,,,under way using engine,,,,,0101000020E610000060CD018239105FC0D5EC815660184640,8258638,POINT (399822.7260488243 4893788.853631614),49814.007974991735
4849,367412830,2016-01-12 20:03:16,44.1901,-124.2549,9.3,27.2,511.0,,,,,under way using engine,,,,,0101000020E610000007F0164850105FC01C7C613255184640,8262485,POINT (399711.0636819836 4893752.784301797),49842.58587735153
4905,367412830,2016-01-12 18:10:24,44.1978,-124.2929,3.0,98.9,511.0,,,,,under way using engine,,,,,0101000020E6100000E63FA4DFBE125FC00C93A98251194640,8266680,POINT (396687.6249608329 4894655.115077846),48834.60958329085
4945,367412830,2016-01-12 18:15:44,44.19304,-124.29172,5.0,203.6,511.0,,,,,under way using engine,,,,,0101000020E6100000B4E55C8AAB125FC0F168E388B5184640,8268809,POINT (396773.6056439223 4894124.927323493),49365.26395608345
5049,367412830,2016-01-12 16:15:04,44.20696,-124.26131,1.7,54.1,511.0,,,,,under way using engine,,,,,0101000020E61000008907944DB9105FC043CA4FAA7D1A4640,8276798,POINT (399227.5323700598 4895633.308145904),47935.87382886512
5050,367412830,2016-01-12 16:16:16,44.2064,-124.26109,2.5,168.0,511.0,,,,,under way using engine,,,,,0101000020E610000002D4D4B2B5105FC07CF2B0506B1A4640,8276839,POINT (399244.1546500952 4895570.83766284),47999.20169632005
5121,367412830,2016-01-12 16:23:24,44.20092,-124.2609,4.1,192.7,511.0,,,,,under way using engine,,,,,0101000020E6100000B1E1E995B2105FC0618E1EBFB7194640,8281536,POINT (399249.9942186222 4894961.927024017),48607.43445061194
5137,367412830,2016-01-12 18:11:35,44.19706,-124.29227,3.9,171.5,511.0,,,,,under way using engine,,,,,0101000020E610000086E63A8DB4125FC0C5AC174339194640,8282769,POINT (396736.6743401536 4894572.129556333),48917.84760743292
5160,367412830,2016-01-12 18:17:14,44.19171,-124.29147,3.0,178.1,511.0,,,,,under way using engine,,,,,0101000020E6100000F870C971A7125FC078280AF489184640,8285019,POINT (396791.2627169935 4893976.887043471),49513.41643663177
5161,367412830,2016-01-12 16:27:05,44.1976,-124.26092,3.1,177.2,511.0,,,,,under way using engine,,,,,0101000020E6100000D4B7CCE9B2105FC045D8F0F44A194640,8285030,POINT (399242.7375351318 4894593.190903417),48975.154034844534
5228,367412830,2016-01-12 18:20:26,44.18849,-124.29129,4.1,145.1,511.0,,,,,under way using engine,,,,,0101000020E6100000B8E9CF7EA4125FC0C0CFB87020184640,8288082,POINT (396800.0281464161 4893619.00803158),49871.34656349019
5279,367341970,2016-01-12 16:41:49,44.62936,-124.05288,4.4,48.5,48.0,MISS BERDIE,IMO8885884,WBT4452,1001,undefined,24.99,8.62,,,0101000020E610000033A7CB6262035FC08DB454DE8E504640,8291963,POINT (416483.628352906 4942317.449085874),20058.459378788422
5506,367412830,2016-01-12 18:18:34,44.19031,-124.29148,5.7,201.0,511.0,,,,,under way using engine,,,,,0101000020E61000000ADCBA9BA7125FC0060DFD135C184640,8305248,POINT (396788.0199079697 4893821.398285558),49668.880153896534
5862,367412830,2016-01-12 20:08:55,44.19192,-124.25367,4.8,190.0,511.0,,,,,under way using engine,,,,,0101000020E61000007C7E18213C105FC063B9A5D590184640,8330844,POINT (399812.4468394786 4893953.43571218),49649.10743654285
6099,367412830,2016-01-12 18:14:26,44.19436,-124.29175,2.6,179.9,511.0,,,,,under way using engine,,,,,0101000020E6100000E9263108AC125FC046D3D9C9E0184640,8348011,POINT (396773.512819632 4894271.58060037),49218.61306582739
6104,367412830,2016-01-12 20:04:36,44.19331,-124.25421,8.4,9.6,511.0,,,,,under way using engine,,,,,0101000020E61000003C1405FA44105FC0B0FECF61BE184640,8348377,POINT (399771.6485339592 4894108.484730184),49491.66634864605
6105,367412830,2016-01-12 20:05:45,44.19519,-124.25367,3.9,123.3,511.0,,,,,under way using engine,,,,,0101000020E61000007C7E18213C105FC0CC4065FCFB184640,8348385,POINT (399817.9876011426 4894316.642354934),49287.1133719289
